Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.9591111111111111,0.8133874239350912,0.8251028806584362,0.802,0,wdc-fullsize
domain-simple-free (Product),0.9584444444444444,0.8120603015075377,0.8161616161616162,0.808,0,wdc-fullsize
domain-complex-force (Product),0.9566666666666667,0.7983453981385729,0.8265524625267666,0.772,0,wdc-fullsize
domain-simple-force (Product),0.9566666666666667,0.7975077881619937,0.8293736501079914,0.768,0,wdc-fullsize
domain-complex-free (Product),0.9754697286012526,0.8894117647058823,0.863013698630137,0.9174757281553398,0,abt-buy-full
domain-simple-free (Product),0.9744258872651357,0.8852459016393442,0.8552036199095022,0.9174757281553398,0,abt-buy-full
domain-complex-force (Product),0.9744258872651357,0.8836104513064132,0.8651162790697674,0.9029126213592233,0,abt-buy-full
domain-simple-force (Product),0.9728601252609603,0.875,0.8666666666666667,0.883495145631068,0,abt-buy-full
domain-complex-free (Product),0.9127780200610554,0.673202614379085,0.544973544973545,0.8803418803418803,0,amazon-google-full
domain-simple-free (Product),0.9066724814653293,0.6624605678233438,0.525,0.8974358974358975,0,amazon-google-full
domain-complex-force (Product),0.9127780200610554,0.6677740863787376,0.5461956521739131,0.8589743589743589,0,amazon-google-full
domain-simple-force (Product),0.9105974705625818,0.6644844517184942,0.5384615384615384,0.8675213675213675,0,amazon-google-full
domain-complex-free (Product),0.9967650626769107,0.990990990990991,0.990990990990991,0.990990990990991,0,dblp-acm
domain-simple-free (Product),0.9967650626769107,0.990990990990991,0.990990990990991,0.990990990990991,0,dblp-acm
domain-complex-force (Product),0.9967650626769107,0.990990990990991,0.990990990990991,0.990990990990991,0,dblp-acm
domain-simple-force (Product),0.9967650626769107,0.990990990990991,0.990990990990991,0.990990990990991,0,dblp-acm
domain-complex-free (Product),0.9629049111807733,0.8992907801418439,0.9100478468899521,0.888785046728972,0,dblp-scholar
domain-simple-free (Product),0.9615116684082201,0.8960977903149977,0.9016083254493851,0.8906542056074767,0,dblp-scholar
domain-complex-force (Product),0.9625566004876349,0.8976677772489291,0.9146459747817652,0.8813084112149533,0,dblp-scholar
domain-simple-force (Product),0.9608150470219435,0.8928060981419723,0.9105928085519922,0.8757009345794392,0,dblp-scholar
domain-complex-free (Product),0.9199609565641776,0.6706827309236948,0.5475409836065573,0.8652849740932642,0,walmart-amazon
domain-simple-free (Product),0.9126403123474865,0.6551059730250481,0.5214723926380368,0.8808290155440415,0,walmart-amazon
domain-complex-force (Product),0.9248413860419717,0.6751054852320675,0.5693950177935944,0.8290155440414507,0,walmart-amazon
domain-simple-force (Product),0.9214250854075159,0.6707566462167689,0.5540540540540541,0.8497409326424871,0,walmart-amazon
