Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.9591111111111111,0.828996282527881,0.7743055555555556,0.892,0,wdc-fullsize
domain-simple-free (Product),0.9611111111111111,0.8244734202607823,0.8269617706237424,0.822,0,wdc-fullsize
domain-complex-force (Product),0.9604444444444444,0.8320754716981132,0.7875,0.882,0,wdc-fullsize
domain-simple-force (Product),0.9582222222222222,0.8065843621399177,0.8305084745762712,0.784,0,wdc-fullsize
domain-complex-free (Product),0.9681628392484343,0.8688172043010752,0.7799227799227799,0.9805825242718447,0,abt-buy-full
domain-simple-free (Product),0.9780678851174934,0.9009433962264151,0.8761467889908257,0.9271844660194175,0,abt-buy-full
domain-complex-force (Product),0.9728601252609603,0.8859649122807017,0.808,0.9805825242718447,0,abt-buy-full
domain-simple-force (Product),0.9796450939457203,0.9064748201438849,0.8957345971563981,0.9174757281553398,0,abt-buy-full
domain-complex-free (Product),0.8705416116248349,0.5847457627118644,0.42201834862385323,0.9517241379310345,0,amazon-google-full
domain-simple-free (Product),0.8975141735717401,0.6275752773375595,0.4987405541561713,0.8461538461538461,0,amazon-google-full
domain-complex-force (Product),0.8761447884866986,0.6044568245125348,0.44834710743801653,0.9273504273504274,0,amazon-google-full
domain-simple-force (Product),0.8996947230702137,0.6266233766233766,0.5052356020942408,0.8247863247863247,0,amazon-google-full
domain-complex-free (Product),0.9148807116862111,0.8082191780821918,0.6797235023041475,0.9966216216216216,1,dblp-acm
domain-simple-free (Product),0.9167003639304488,0.8097876269621422,0.6862284820031299,0.9876126126126126,0,dblp-acm
domain-complex-force (Product),0.9181156490093004,0.8132780082987552,0.6885245901639344,0.9932432432432432,0,dblp-acm
domain-simple-force (Product),0.9367165386170643,0.8469437652811735,0.7484874675885912,0.9752252252252253,0,dblp-acm
domain-complex-free (Product),0.8799965165897413,0.7489952502740227,0.614877024595081,0.9579439252336449,4,dblp-scholar
domain-simple-free (Product),0.8739115290839429,0.7242233657327997,0.6115223688445446,0.8878504672897196,2,dblp-scholar
domain-complex-force (Product),0.8780624126688402,0.7367149758454107,0.6128600133958473,0.9233097880928355,1,dblp-scholar
domain-simple-force (Product),0.8693834900731452,0.6789462411651317,0.6267299327797549,0.7406542056074766,1,dblp-scholar
domain-complex-free (Product),0.8960468521229868,0.6333907056798623,0.4742268041237113,0.9533678756476683,0,walmart-amazon
domain-simple-free (Product),0.9209370424597365,0.6652892561983471,0.5532646048109966,0.8341968911917098,0,walmart-amazon
domain-complex-force (Product),0.9019033674963397,0.6417112299465241,0.4891304347826087,0.9326424870466321,0,walmart-amazon
domain-simple-force (Product),0.9233772571986335,0.6652452025586354,0.5652173913043478,0.8082901554404145,0,walmart-amazon
