Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.94,0.6973094170403588,0.7933673469387755,0.622,0,wdc-fullsize
domain-simple-free (Product),0.9413333333333334,0.70874861572536,0.794044665012407,0.64,1,wdc-fullsize
domain-complex-force (Product),0.9384444444444444,0.6790266512166859,0.8071625344352618,0.586,0,wdc-fullsize
domain-simple-force (Product),0.9391111111111111,0.6761229314420804,0.8265895953757225,0.572,0,wdc-fullsize
domain-complex-free (Product),0.9775574112734864,0.8963855421686747,0.8899521531100478,0.9029126213592233,0,abt-buy-full
domain-simple-free (Product),0.9780793319415448,0.8975609756097561,0.9019607843137255,0.8932038834951457,0,abt-buy-full
domain-complex-force (Product),0.975991649269311,0.8844221105527639,0.9166666666666666,0.8543689320388349,0,abt-buy-full
domain-simple-force (Product),0.975991649269311,0.8826530612244898,0.9301075268817204,0.8398058252427184,0,abt-buy-full
domain-complex-free (Product),0.914958569559529,0.643510054844607,0.5623003194888179,0.7521367521367521,0,amazon-google-full
domain-simple-free (Product),0.9167030091583079,0.6570915619389587,0.56656346749226,0.782051282051282,0,amazon-google-full
domain-complex-force (Product),0.9201918883558656,0.6527514231499051,0.5870307167235495,0.7350427350427351,0,amazon-google-full
domain-simple-force (Product),0.919755778456171,0.6501901140684411,0.5856164383561644,0.7307692307692307,0,amazon-google-full
domain-complex-free (Product),0.9818034775576223,0.9514563106796117,0.9130434782608695,0.9932432432432432,0,dblp-acm
domain-simple-free (Product),0.9813991103922362,0.9504310344827587,0.9111570247933884,0.9932432432432432,0,dblp-acm
domain-complex-force (Product),0.9822078447230085,0.9525862068965517,0.9132231404958677,0.9954954954954955,0,dblp-acm
domain-simple-force (Product),0.9826122118883946,0.95361380798274,0.9151138716356108,0.9954954954954955,0,dblp-acm
domain-complex-free (Product),0.9857192615813305,0.9618604651162791,0.9574074074074074,0.9663551401869159,0,dblp-scholar
domain-simple-free (Product),0.9848484848484849,0.9595160539785947,0.9555143651529193,0.9635514018691589,0,dblp-scholar
domain-complex-force (Product),0.9858934169278997,0.9622377622377623,0.96,0.9644859813084112,0,dblp-scholar
domain-simple-force (Product),0.9845001741553465,0.9583528310715957,0.9597000937207123,0.9570093457943926,0,dblp-scholar
domain-complex-free (Product),0.9282576866764275,0.6754966887417219,0.5884615384615385,0.7927461139896373,0,walmart-amazon
domain-simple-free (Product),0.931185944363104,0.6845637583892618,0.6023622047244095,0.7927461139896373,0,walmart-amazon
domain-complex-force (Product),0.9326500732064422,0.677570093457944,0.6170212765957447,0.7512953367875648,0,walmart-amazon
domain-simple-force (Product),0.9326500732064422,0.6682692307692307,0.6233183856502242,0.7202072538860104,0,walmart-amazon
