Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.9153946794592237,0.6040816326530613,0.578125,0.6324786324786325,0,amazon-google-full
domain-simple-free (Product),0.9180113388573921,0.5859030837004405,0.6045454545454545,0.5683760683760684,0,amazon-google-full
domain-complex-force (Product),0.9175752289576974,0.5970149253731343,0.5957446808510638,0.5982905982905983,0,amazon-google-full
domain-simple-force (Product),0.914958569559529,0.5454545454545454,0.6,0.5,0,amazon-google-full
domain-complex-free (Product),0.9308888888888889,0.5780189959294437,0.8987341772151899,0.426,0,wdc-fullsize
domain-simple-free (Product),0.9244444444444444,0.5086705202312138,0.9166666666666666,0.352,0,wdc-fullsize
domain-complex-force (Product),0.926,0.5303244005641748,0.8995215311004785,0.376,0,wdc-fullsize
domain-simple-force (Product),0.918,0.4400606980273141,0.9119496855345912,0.29,0,wdc-fullsize
domain-complex-free (Product),0.9728601252609603,0.8624338624338624,0.9476744186046512,0.7912621359223301,0,abt-buy-full
domain-simple-free (Product),0.9681628392484343,0.8319559228650137,0.9617834394904459,0.7330097087378641,0,abt-buy-full
domain-complex-force (Product),0.9681628392484343,0.8355795148247979,0.9393939393939394,0.7524271844660194,0,abt-buy-full
domain-simple-force (Product),0.9634655532359081,0.8,0.9722222222222222,0.6796116504854369,0,abt-buy-full
domain-complex-free (Product),0.9448511469009273,0.6565349544072948,0.7941176470588235,0.5595854922279793,0,walmart-amazon
domain-simple-free (Product),0.9448511469009273,0.6565349544072948,0.7941176470588235,0.5595854922279793,0,walmart-amazon
domain-complex-force (Product),0.9394826744753538,0.6219512195121951,0.7555555555555555,0.5284974093264249,0,walmart-amazon
domain-simple-force (Product),0.9385065885797951,0.58,0.8130841121495327,0.45077720207253885,0,walmart-amazon
domain-complex-free (Product),0.8751306165099269,0.5119128658951668,0.9423558897243107,0.3514018691588785,0,dblp-scholar
domain-simple-free (Product),0.8585858585858586,0.39762611275964393,0.9640287769784173,0.2504672897196262,0,dblp-scholar
domain-complex-force (Product),0.8547544409613375,0.37198795180722893,0.9573643410852714,0.2308411214953271,0,dblp-scholar
domain-simple-force (Product),0.8535353535353535,0.35850495804729215,0.975103734439834,0.21962616822429906,0,dblp-scholar
domain-complex-free (Product),0.9183178325919935,0.7170868347338936,0.9481481481481482,0.5765765765765766,0,dblp-acm
domain-simple-free (Product),0.8673675697533361,0.41843971631205673,0.9833333333333333,0.26576576576576577,0,dblp-acm
domain-complex-force (Product),0.879094217549535,0.5008347245409015,0.967741935483871,0.33783783783783783,0,dblp-acm
domain-simple-force (Product),0.8572583906186818,0.34750462107208874,0.9690721649484536,0.21171171171171171,0,dblp-acm
