Task,Accuracy,F1 Score,Precision,Recall,Num -1 Responses,Dataset
domain-complex-free (Product),0.9303079416531604,0.8368121442125237,0.7211774325429272,0.9966101694915255,0,dblp-acm
domain-simple-free (Product),0.9305668016194332,0.8362768496420048,0.7251655629139073,0.9875986471251409,0,dblp-acm
domain-complex-force (Product),0.955115244642135,0.887991927346115,0.8043875685557587,0.990990990990991,0,dblp-acm
domain-simple-force (Product),0.9577436312171451,0.8926553672316384,0.8205854579792257,0.9786036036036037,0,dblp-acm
domain-complex-free (Product),0.8922849181469871,0.7681349578256794,0.6413145539906103,0.9574766355140187,0,dblp-scholar
domain-simple-free (Product),0.8861024033437827,0.74453125,0.6395973154362417,0.8906542056074767,0,dblp-scholar
domain-complex-force (Product),0.9189306861720655,0.8074457083764219,0.72430426716141,0.9121495327102803,0,dblp-scholar
domain-simple-force (Product),0.8951584813653779,0.7319679430097952,0.6989795918367347,0.7682242990654206,0,dblp-scholar
domain-complex-free (Product),0.9661243592600847,0.8571428571428571,0.8056537102473498,0.9156626506024096,0,wdc-fullsize
domain-simple-free (Product),0.9682222222222222,0.8639391056137012,0.8239564428312159,0.908,0,wdc-fullsize
domain-complex-force (Product),0.9684444444444444,0.8650190114068441,0.8242753623188406,0.91,0,wdc-fullsize
domain-simple-force (Product),0.9702222222222222,0.8706563706563707,0.8414179104477612,0.902,0,wdc-fullsize
domain-complex-free (Product),0.9780793319415448,0.905829596412556,0.8416666666666667,0.9805825242718447,0,abt-buy-full
domain-simple-free (Product),0.9812108559498957,0.918918918918919,0.8571428571428571,0.9902912621359223,0,abt-buy-full
domain-complex-force (Product),0.9812108559498957,0.9181818181818182,0.8632478632478633,0.9805825242718447,0,abt-buy-full
domain-simple-force (Product),0.9817327766179541,0.919908466819222,0.8701298701298701,0.9757281553398058,0,abt-buy-full
domain-complex-free (Product),0.8874836458787615,0.6293103448275862,0.474025974025974,0.9358974358974359,0,amazon-google-full
domain-simple-free (Product),0.8966419537723507,0.6446776611694153,0.49653579676674364,0.9188034188034188,0,amazon-google-full
domain-complex-force (Product),0.8922808547754034,0.6362297496318114,0.4853932584269663,0.9230769230769231,0,amazon-google-full
domain-simple-force (Product),0.9014391626689926,0.6512345679012346,0.5096618357487923,0.9017094017094017,0,amazon-google-full
domain-complex-free (Product),0.9014153245485603,0.6443661971830986,0.488,0.9481865284974094,0,walmart-amazon
domain-simple-free (Product),0.9111761835041484,0.6666666666666666,0.5155807365439093,0.9430051813471503,0,walmart-amazon
domain-complex-force (Product),0.915568570034163,0.6766355140186916,0.5292397660818714,0.9378238341968912,0,walmart-amazon
domain-simple-force (Product),0.9184968277208394,0.6854990583804144,0.5384615384615384,0.9430051813471503,0,walmart-amazon
